date(year)	ssMean	ssStd	aaMean(nT)	aaStd(nT)
1.916041999999999916e+03	7.550000000000000000e+01	7.799999999999999822e+00	1.601612903225806406e+01	1.906884127565841069e+01
1.916124000000000024e+03	9.240000000000000568e+01	8.599999999999999645e+00	1.162068965517241459e+01	1.101030486941570530e+01
1.916205999999999904e+03	1.117000000000000028e+02	9.400000000000000355e+00	2.499596774193548399e+01	2.729254565365832264e+01
1.916289999999999964e+03	1.197999999999999972e+02	9.800000000000000711e+00	1.919166666666666643e+01	2.205251150977795049e+01
1.916373000000000047e+03	1.240000000000000000e+02	9.900000000000000355e+00	2.018145161290322420e+01	1.718575397904624324e+01
1.916455999999999904e+03	1.129000000000000057e+02	9.500000000000000000e+00	1.574166666666666714e+01	1.198088465941569147e+01
1.916539999999999964e+03	8.929999999999999716e+01	8.400000000000000355e+00	1.972177419354838790e+01	1.798787701294631702e+01
1.916624000000000024e+03	5.860000000000000142e+01	6.900000000000000355e+00	2.136290322580645196e+01	2.335674754942153797e+01
1.916708000000000084e+03	7.509999999999999432e+01	7.700000000000000178e+00	2.237083333333333357e+01	1.847994361388103002e+01
1.916790999999999940e+03	8.450000000000000000e+01	8.199999999999999289e+00	2.445161290322580783e+01	2.431442384832432069e+01
1.916874000000000024e+03	1.095000000000000000e+02	9.300000000000000711e+00	2.396249999999999858e+01	1.815726008377915690e+01
1.916958000000000084e+03	8.829999999999999716e+01	8.400000000000000355e+00	1.888709677419354804e+01	1.590126271990400575e+01
1.917041999999999916e+03	1.245000000000000000e+02	1.000000000000000000e+01	2.507661290322580783e+01	2.529372167692035944e+01
1.917123000000000047e+03	1.199000000000000057e+02	9.800000000000000711e+00	1.908928571428571530e+01	1.836779672776931349e+01
1.917203999999999951e+03	1.580000000000000000e+02	1.119999999999999929e+01	1.615322580645161210e+01	1.351077488456045295e+01
1.917288000000000011e+03	1.245999999999999943e+02	1.000000000000000000e+01	1.666250000000000142e+01	1.457818897360025368e+01
1.917371000000000095e+03	1.901999999999999886e+02	1.230000000000000071e+01	1.589516129032258007e+01	1.381958553390166422e+01
1.917454999999999927e+03	1.914000000000000057e+02	1.230000000000000071e+01	1.265416666666666679e+01	1.316565858482674578e+01
1.917538000000000011e+03	1.996999999999999886e+02	1.259999999999999964e+01	1.460080645161290391e+01	1.588586811607249594e+01
1.917623000000000047e+03	2.576999999999999886e+02	1.430000000000000071e+01	2.814919354838709609e+01	4.178928901966376230e+01
1.917707000000000107e+03	2.155999999999999943e+02	1.309999999999999964e+01	1.606250000000000000e+01	1.634218244554053712e+01
1.917789999999999964e+03	1.202999999999999972e+02	9.800000000000000711e+00	2.019758064516129181e+01	1.911861516322835897e+01
1.917874000000000024e+03	1.606999999999999886e+02	1.130000000000000071e+01	1.482083333333333286e+01	1.476077231399345102e+01
1.917958000000000084e+03	2.155000000000000000e+02	1.309999999999999964e+01	1.982258064516129181e+01	2.159844244201224228e+01
1.918041999999999916e+03	1.600000000000000000e+02	1.130000000000000071e+01	1.777419354838709609e+01	1.787042912895103441e+01
1.918123000000000047e+03	1.087000000000000028e+02	9.300000000000000711e+00	2.133928571428571530e+01	2.052461656655445310e+01
1.918203999999999951e+03	1.204000000000000057e+02	9.800000000000000711e+00	1.969354838709677580e+01	2.333354826222799971e+01
1.918288000000000011e+03	1.340999999999999943e+02	1.030000000000000071e+01	2.053333333333333499e+01	1.977980170667935411e+01
1.918371000000000095e+03	1.279000000000000057e+02	1.009999999999999964e+01	1.878225806451612812e+01	1.974068195208571552e+01
1.918454999999999927e+03	9.900000000000000000e+01	8.900000000000000355e+00	1.559166666666666679e+01	1.745780428792680539e+01
1.918538000000000011e+03	1.795000000000000000e+02	1.190000000000000036e+01	1.735483870967741993e+01	1.423687485437540623e+01
1.918623000000000047e+03	1.695999999999999943e+02	1.159999999999999964e+01	2.222580645161290391e+01	2.179665508138192820e+01
1.918707000000000107e+03	1.331999999999999886e+02	1.030000000000000071e+01	2.840416666666666501e+01	2.443305444076846555e+01
1.918789999999999964e+03	1.416999999999999886e+02	1.059999999999999964e+01	2.641532258064516014e+01	2.477041531537050645e+01
1.918874000000000024e+03	1.390000000000000000e+02	1.050000000000000000e+01	2.307916666666666572e+01	2.307573543729911592e+01
1.918958000000000084e+03	9.850000000000000000e+01	8.900000000000000355e+00	2.808064516129032384e+01	2.930542633177331169e+01
1.919041999999999916e+03	8.020000000000000284e+01	8.000000000000000000e+00	2.779032258064516014e+01	2.707196925328448600e+01
1.919123000000000047e+03	1.325000000000000000e+02	1.030000000000000071e+01	2.650892857142857295e+01	2.299126213513139305e+01
1.919203999999999951e+03	1.109000000000000057e+02	9.400000000000000355e+00	3.067338709677419217e+01	2.486662359816340029e+01
1.919288000000000011e+03	8.629999999999999716e+01	8.300000000000000711e+00	2.126666666666666572e+01	2.011083179670983867e+01
1.919371000000000095e+03	1.469000000000000057e+02	1.080000000000000071e+01	2.747983870967741993e+01	2.829481167486224535e+01
1.919454999999999927e+03	1.853000000000000114e+02	1.209999999999999964e+01	1.390416666666666679e+01	1.261196452998324702e+01
1.919538000000000011e+03	1.077999999999999972e+02	9.300000000000000711e+00	1.489112903225806406e+01	1.586079317107466657e+01
1.919623000000000047e+03	1.150999999999999943e+02	9.599999999999999645e+00	2.265322580645161210e+01	4.442428214876277082e+01
1.919707000000000107e+03	9.109999999999999432e+01	8.500000000000000000e+00	2.527916666666666501e+01	2.549561202714868813e+01
1.919789999999999964e+03	8.800000000000000000e+01	8.400000000000000355e+00	2.685483870967741993e+01	3.254158469791237707e+01
1.919874000000000024e+03	6.990000000000000568e+01	7.500000000000000000e+00	1.428333333333333321e+01	1.754051658937735425e+01
1.919958000000000084e+03	5.800000000000000000e+01	6.799999999999999822e+00	1.841935483870967616e+01	2.221507653352151834e+01
1.920041999999999916e+03	8.529999999999999716e+01	8.199999999999999289e+00	1.668548387096774022e+01	1.345054677835948098e+01
1.920124000000000024e+03	8.979999999999999716e+01	8.500000000000000000e+00	1.410344827586206939e+01	1.573754532755917879e+01
1.920205999999999904e+03	1.169000000000000057e+02	9.599999999999999645e+00	2.845161290322580783e+01	4.883883218973000595e+01
1.920289999999999964e+03	2.469999999999999929e+01	4.500000000000000000e+00	1.780833333333333357e+01	1.867966623244525337e+01
1.920373000000000047e+03	5.539999999999999858e+01	6.599999999999999645e+00	1.771370967741935587e+01	1.814954382558975254e+01
