BJD	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
5.740992296933333273e+04	1.039584074264980273e+02	2.367136103677465464e-01	-2.062999999999999901e+01	4.734272207354930928e-01	7.050110549774919491e+03	5.562769843642044743e-01
5.741097055833333434e+04	1.051602481931946187e+02	2.367136103677465464e-01	-2.007666666666666444e+01	4.734272207354930928e-01	7.050725929472516327e+03	5.562769843642044743e-01
5.741303732100000343e+04	1.037668230349987084e+02	2.367136103677465464e-01	-1.886333333333333329e+01	4.734272207354930928e-01	7.053628170424992277e+03	5.562769843642044743e-01
5.741413134466666816e+04	1.018940673738450613e+02	2.367136103677465464e-01	-1.959999999999999787e+01	4.734272207354930928e-01	7.051438859500005492e+03	5.562769843642044743e-01
5.741505685333333531e+04	1.004890262818502862e+02	2.367136103677465464e-01	-1.952666666666666728e+01	4.734272207354930928e-01	7.049704465090610029e+03	5.562769843642044743e-01
5.741816500433333567e+04	1.063517907944217455e+02	2.367136103677465464e-01	-2.150999999999999446e+01	4.734272207354930928e-01	7.052298848246146918e+03	5.562769843642044743e-01
5.741892106900000363e+04	1.024659780951240435e+02	2.367136103677465464e-01	-1.969999999999999929e+01	4.734272207354930928e-01	7.052364778205232142e+03	5.562769843642044743e-01
5.742413346199999796e+04	1.033262652193587456e+02	2.367136103677465464e-01	-2.089333333333333442e+01	4.734272207354930928e-01	7.050560698075358232e+03	5.562769843642044743e-01
5.742811697433333029e+04	1.026371536450214421e+02	2.367136103677465464e-01	-1.917000000000000171e+01	4.734272207354930928e-01	7.051399157917879165e+03	5.562769843642044743e-01
5.742912829666666221e+04	1.043445675264029546e+02	2.367136103677465464e-01	-1.930999999999999872e+01	4.734272207354930928e-01	7.052126425950016710e+03	5.562769843642044743e-01
5.743005841600000713e+04	1.044240647263408732e+02	2.367136103677465464e-01	-1.901666666666666572e+01	4.734272207354930928e-01	7.051517082234423469e+03	5.562769843642044743e-01
5.743096517466666410e+04	1.039063476499268148e+02	2.367136103677465464e-01	-1.852333333333332988e+01	4.734272207354930928e-01	7.050878542643632500e+03	5.562769843642044743e-01
5.743316567833333829e+04	1.001044657489302523e+02	2.367136103677465464e-01	-1.983000000000000185e+01	4.734272207354930928e-01	7.049639656063282928e+03	5.562769843642044743e-01
5.743412962833332858e+04	1.005387366945251415e+02	2.367136103677465464e-01	-2.054333333333333300e+01	4.734272207354930928e-01	7.050447102604478459e+03	5.562769843642044743e-01
5.743612793300000340e+04	1.015565257036645193e+02	2.367136103677465464e-01	-2.046999999999999886e+01	4.734272207354930928e-01	7.047825341670664784e+03	5.562769843642044743e-01
5.744008460800000466e+04	9.969734447466616700e+01	2.367136103677465464e-01	-1.941000000000000014e+01	4.734272207354930928e-01	7.052020576191494001e+03	5.562769843642044743e-01
5.744096338400000241e+04	1.005644828273521654e+02	2.405780076768817555e-01	-2.018666666666666742e+01	4.811560153537635109e-01	7.049753190922005160e+03	5.653583180406721587e-01
5.744513054033333174e+04	1.009287990885641619e+02	2.367136103677465464e-01	-2.117333333333333556e+01	4.734272207354930928e-01	7.049108340378847970e+03	5.562769843642044743e-01
5.744599060499999905e+04	1.027805613349602680e+02	2.367136103677465464e-01	-2.181333333333333258e+01	4.734272207354930928e-01	7.050381399118171430e+03	5.562769843642044743e-01
5.744689778366666724e+04	1.001728971072216012e+02	2.424871130596428503e-01	-2.055999999999999872e+01	4.849742261192857007e-01	7.050738346691911829e+03	5.698447156901605970e-01
