aa_mean	aa_std
1.031854838709677402e+01	1.127726707724569621e+01
9.495535714285713524e+00	9.199183663247138654e+00
9.870967741935483986e+00	1.032376505301855119e+01
9.837500000000000355e+00	1.130240802144982304e+01
8.963709677419354094e+00	1.015379187614656153e+01
6.983333333333333393e+00	7.062203779431900585e+00
6.951612903225806051e+00	6.608712283319986724e+00
6.681451612903225978e+00	6.355031876464861895e+00
9.995833333333333570e+00	1.064522503154452870e+01
1.065322580645161210e+01	1.132122211774568044e+01
7.629166666666666430e+00	7.292689214015789290e+00
6.649193548387096975e+00	7.335419991139565887e+00
7.145161290322580960e+00	7.163070107229316363e+00
7.330357142857143238e+00	6.115536994376850721e+00
1.008467741935483808e+01	9.322454200225203991e+00
1.347916666666666607e+01	2.023547790323278406e+01
8.060483870967741993e+00	8.276008062060370207e+00
1.030416666666666714e+01	1.005542884742145304e+01
1.285080645161290391e+01	1.521823500833754927e+01
1.491129032258064591e+01	1.255697473375254702e+01
1.177083333333333393e+01	1.363488110101767248e+01
1.326612903225806406e+01	1.181757089209970779e+01
1.340000000000000036e+01	1.327491368459069676e+01
9.302419354838709964e+00	1.037683496178586751e+01
1.093548387096774199e+01	1.120789031937010805e+01
1.350446428571428648e+01	1.363425235254981693e+01
1.499596774193548399e+01	1.510086997704024725e+01
1.529583333333333250e+01	1.563542929713014118e+01
1.388306451612903203e+01	1.277087299523230790e+01
1.790416666666666501e+01	3.829027268953420560e+01
1.116935483870967794e+01	1.230310855958477845e+01
1.472177419354838790e+01	1.384444141677662010e+01
1.696666666666666501e+01	1.931447355971393876e+01
2.132258064516129181e+01	2.367881467278319008e+01
2.489999999999999858e+01	2.833751929862598118e+01
1.240322580645161210e+01	1.447434847541405212e+01
1.601612903225806406e+01	1.906884127565841069e+01
1.162068965517241459e+01	1.101030486941570530e+01
2.499596774193548399e+01	2.729254565365832264e+01
1.919166666666666643e+01	2.205251150977795049e+01
2.018145161290322420e+01	1.718575397904624324e+01
